source_id,source_name,target_id,target_name,weight,year,width
1,House,3,Tech House,54,2024,5.333333333333333
1,House,4,Deep House,77,2024,7.25
1,House,25,French House,2,2024,1.0
1,House,31,Acid House,7,2024,1.4166666666666667
1,House,48,Italo House,4,2024,1.1666666666666667
1,House,5,Progressive House,13,2024,1.9166666666666665
1,House,22,Hip-House,5,2024,1.25
1,House,15,Electro House,7,2024,1.4166666666666667
1,House,7,Garage House,7,2024,1.4166666666666667
1,House,10,Hard House,4,2024,1.1666666666666667
1,House,21,Dance-pop,16,2024,2.166666666666667
1,House,9,Techno,26,2024,3.0
1,House,16,Trance,8,2024,1.5
1,House,45,Leftfield,3,2024,1.0833333333333333
1,House,51,Reggaeton,2,2024,1.0
1,House,2,Euro House,11,2024,1.75
1,House,8,Disco,7,2024,1.4166666666666667
1,House,53,Progressive Trance,2,2024,1.0
1,House,54,Soul,2,2024,1.0
1,House,64,Nu-Disco,3,2024,1.0833333333333333
1,House,11,Electro,14,2024,2.0
1,House,79,Synth-pop,8,2024,1.5
1,House,13,Breaks,2,2024,1.0
1,House,14,Minimal,2,2024,1.0
1,House,28,Europop,5,2024,1.25
1,House,67,Drum n Bass,5,2024,1.25
1,House,73,Bass Music,4,2024,1.1666666666666667
1,House,32,Downtempo,10,2024,1.6666666666666665
1,House,34,Breakbeat,2,2024,1.0
1,House,24,Ambient,10,2024,1.6666666666666665
1,House,110,Video Game Music,3,2024,1.0833333333333333
1,House,85,Pop Rap,5,2024,1.25
1,House,86,K-pop,2,2024,1.0
1,House,26,Funk,2,2024,1.0
9,Techno,65,Dub Techno,6,2024,1.3333333333333333
9,Techno,116,Hard Techno,6,2024,1.3333333333333333
9,Techno,68,Deep Techno,4,2024,1.1666666666666667
9,Techno,119,Industrial,13,2024,1.9166666666666665
9,Techno,34,Breakbeat,5,2024,1.25
9,Techno,16,Trance,19,2024,2.416666666666667
9,Techno,1,House,22,2024,2.666666666666667
9,Techno,24,Ambient,29,2024,3.25
9,Techno,14,Minimal,5,2024,1.25
9,Techno,50,Tribal,4,2024,1.1666666666666667
9,Techno,40,Acid,11,2024,1.75
9,Techno,135,Schranz,2,2024,1.0
9,Techno,69,Minimal Techno,4,2024,1.1666666666666667
9,Techno,153,Score,2,2024,1.0
9,Techno,12,IDM,17,2024,2.25
9,Techno,122,Hardcore,6,2024,1.3333333333333333
9,Techno,80,Psy-Trance,2,2024,1.0
9,Techno,58,Experimental,16,2024,2.166666666666667
9,Techno,75,Abstract,5,2024,1.25
9,Techno,121,Gabber,4,2024,1.1666666666666667
9,Techno,11,Electro,13,2024,1.9166666666666665
9,Techno,32,Downtempo,8,2024,1.5
9,Techno,30,Dub,3,2024,1.0833333333333333
9,Techno,70,EBM,7,2024,1.4166666666666667
9,Techno,79,Synth-pop,5,2024,1.25
9,Techno,5,Progressive House,2,2024,1.0
9,Techno,132,Alternative Rock,2,2024,1.0
9,Techno,13,Breaks,4,2024,1.1666666666666667
9,Techno,93,Broken Beat,3,2024,1.0833333333333333
9,Techno,110,Video Game Music,2,2024,1.0
3,Tech House,1,House,116,2024,10.5
3,Tech House,5,Progressive House,6,2024,1.3333333333333333
3,Tech House,66,Tech Trance,2,2024,1.0
3,Tech House,9,Techno,9,2024,1.5833333333333335
3,Tech House,12,IDM,3,2024,1.0833333333333333
3,Tech House,11,Electro,3,2024,1.0833333333333333
3,Tech House,14,Minimal,4,2024,1.1666666666666667
3,Tech House,49,Hands Up,2,2024,1.0
3,Tech House,2,Euro House,3,2024,1.0833333333333333
3,Tech House,4,Deep House,4,2024,1.1666666666666667
3,Tech House,64,Nu-Disco,4,2024,1.1666666666666667
3,Tech House,108,Hip Hop,4,2024,1.1666666666666667
3,Tech House,79,Synth-pop,5,2024,1.25
3,Tech House,16,Trance,4,2024,1.1666666666666667
3,Tech House,21,Dance-pop,6,2024,1.3333333333333333
3,Tech House,67,Drum n Bass,2,2024,1.0
3,Tech House,13,Breaks,2,2024,1.0
3,Tech House,24,Ambient,2,2024,1.0
3,Tech House,77,Trip Hop,2,2024,1.0
3,Tech House,34,Breakbeat,2,2024,1.0
3,Tech House,89,Hard Trance,2,2024,1.0
3,Tech House,256,Latin Pop,2,2024,1.0
3,Tech House,100,Contemporary R&B,3,2024,1.0833333333333333
3,Tech House,111,Ballad,2,2024,1.0
3,Tech House,125,Pop Rock,4,2024,1.1666666666666667
3,Tech House,132,Alternative Rock,2,2024,1.0
5,Progressive House,1,House,87,2024,8.083333333333332
5,Progressive House,53,Progressive Trance,25,2024,2.916666666666667
5,Progressive House,3,Tech House,53,2024,5.25
5,Progressive House,4,Deep House,34,2024,3.6666666666666665
5,Progressive House,16,Trance,33,2024,3.5833333333333335
5,Progressive House,6,Tribal House,3,2024,1.0833333333333333
5,Progressive House,34,Breakbeat,8,2024,1.5
5,Progressive House,112,Progressive Breaks,6,2024,1.3333333333333333
5,Progressive House,9,Techno,33,2024,3.5833333333333335
5,Progressive House,48,Italo House,3,2024,1.0833333333333333
5,Progressive House,12,IDM,2,2024,1.0
5,Progressive House,31,Acid House,7,2024,1.4166666666666667
5,Progressive House,11,Electro,11,2024,1.75
5,Progressive House,2,Euro House,2,2024,1.0
5,Progressive House,32,Downtempo,10,2024,1.6666666666666665
5,Progressive House,15,Electro House,4,2024,1.1666666666666667
5,Progressive House,13,Breaks,11,2024,1.75
5,Progressive House,21,Dance-pop,12,2024,1.8333333333333335
5,Progressive House,58,Experimental,2,2024,1.0
5,Progressive House,14,Minimal,2,2024,1.0
5,Progressive House,24,Ambient,7,2024,1.4166666666666667
5,Progressive House,296,Plunderphonics,2,2024,1.0
5,Progressive House,89,Hard Trance,2,2024,1.0
5,Progressive House,67,Drum n Bass,2,2024,1.0
5,Progressive House,83,Vaporwave,2,2024,1.0
5,Progressive House,132,Alternative Rock,4,2024,1.1666666666666667
5,Progressive House,52,Hardstyle,2,2024,1.0
5,Progressive House,196,Chanson,2,2024,1.0
5,Progressive House,64,Nu-Disco,4,2024,1.1666666666666667
5,Progressive House,79,Synth-pop,5,2024,1.25
5,Progressive House,111,Ballad,5,2024,1.25
5,Progressive House,102,Indie Pop,2,2024,1.0
5,Progressive House,108,Hip Hop,3,2024,1.0833333333333333
5,Progressive House,28,Europop,2,2024,1.0
5,Progressive House,125,Pop Rock,5,2024,1.25
5,Progressive House,131,Hard Rock,2,2024,1.0
5,Progressive House,256,Latin Pop,2,2024,1.0
5,Progressive House,100,Contemporary R&B,2,2024,1.0
5,Progressive House,215,Alt-Pop,2,2024,1.0
4,Deep House,68,Deep Techno,3,2024,1.0833333333333333
4,Deep House,1,House,97,2024,8.916666666666668
4,Deep House,5,Progressive House,6,2024,1.3333333333333333
4,Deep House,24,Ambient,14,2024,2.0
4,Deep House,15,Electro House,5,2024,1.25
4,Deep House,21,Dance-pop,7,2024,1.4166666666666667
4,Deep House,36,Ambient House,2,2024,1.0
4,Deep House,32,Downtempo,8,2024,1.5
4,Deep House,45,Leftfield,4,2024,1.1666666666666667
4,Deep House,254,Afrobeat,3,2024,1.0833333333333333
4,Deep House,34,Breakbeat,7,2024,1.4166666666666667
4,Deep House,9,Techno,4,2024,1.1666666666666667
4,Deep House,11,Electro,3,2024,1.0833333333333333
4,Deep House,3,Tech House,4,2024,1.1666666666666667
4,Deep House,64,Nu-Disco,4,2024,1.1666666666666667
4,Deep House,16,Trance,3,2024,1.0833333333333333
4,Deep House,79,Synth-pop,5,2024,1.25
4,Deep House,23,Future Jazz,4,2024,1.1666666666666667
4,Deep House,58,Experimental,3,2024,1.0833333333333333
4,Deep House,51,Reggaeton,2,2024,1.0
4,Deep House,18,Latin,3,2024,1.0833333333333333
4,Deep House,73,Bass Music,2,2024,1.0
4,Deep House,75,Abstract,2,2024,1.0
4,Deep House,67,Drum n Bass,8,2024,1.5
4,Deep House,112,Progressive Breaks,2,2024,1.0
4,Deep House,13,Breaks,3,2024,1.0833333333333333
