id,name,outgoing_weight,incoming_weight,total_weight,size
3,Tech House,10311,2604,12915,84.36084452975048
4,Deep House,5727,1003,6730,48.74664107485604
8,Progressive House,6575,1020,7595,53.727447216890596
22,Techno,13781,1850,15631,100.0
1,House,0,5071,5071,39.19385796545105
2,Hard House,0,257,257,11.474088291746641
5,Garage House,0,207,207,11.186180422264876
6,Acid House,0,254,254,11.456813819577736
7,Euro House,0,339,339,11.946257197696736
9,Tribal House,0,417,417,12.39539347408829
10,French House,0,3,3,10.01151631477927
11,Electro House,0,779,779,14.479846449136279
12,Ghetto House,0,9,9,10.046065259117082
13,Hip-House,0,25,25,10.138195777351248
14,Italo House,0,10,10,10.051823416506718
15,Disco,0,395,395,12.268714011516314
16,Trance,0,1034,1034,15.948176583493282
17,Latin,0,114,114,10.650671785028791
18,Italodance,0,54,54,10.305182341650672
19,Tribal,0,295,295,11.692898272552783
20,Electro,0,3974,3974,32.87715930902111
21,Downtempo,0,859,859,14.940499040307103
23,Abstract,0,257,257,11.474088291746641
24,Breaks,0,667,667,13.83493282149712
25,Minimal,0,5161,5161,39.71209213051823
26,Acid,0,611,611,13.512476007677543
27,Ballroom,0,1,1,10.0
28,Funk,0,66,66,10.374280230326296
29,Dub,0,192,192,11.099808061420346
30,Afrobeat,0,4,4,10.017274472168905
31,Europop,0,71,71,10.403071017274472
32,Breakbeat,0,389,389,12.234165067178504
33,Kwaito,0,2,2,10.005758157389636
34,Vocal,0,64,64,10.362763915547024
35,Jazzdance,0,44,44,10.247600767754317
37,Schlager,0,4,4,10.017274472168905
38,Makina,0,11,11,10.057581573896353
39,Merengue,0,1,1,10.0
40,Ambient,0,675,675,13.880998080614205
41,Microhouse,0,4,4,10.017274472168905
42,Experimental,0,566,566,13.253358925143953
43,Rumba,0,9,9,10.046065259117082
44,Future Jazz,0,213,213,11.220729366602686
45,UK Garage,0,26,26,10.143953934740882
46,Big Beat,0,66,66,10.374280230326296
47,Soul,0,81,81,10.460652591170824
48,Freestyle,0,11,11,10.057581573896353
49,Jazz-Funk,0,15,15,10.080614203454894
50,Contemporary,0,7,7,10.03454894433781
51,Dancehall,0,19,19,10.103646833013435
52,Speed Garage,0,4,4,10.017274472168905
53,Progressive Trance,0,759,759,14.36468330134357
54,Hip Hop,0,107,107,10.610364683301345
55,Donk,0,5,5,10.023032629558541
56,Bhangra,0,1,1,10.0
58,African,0,5,5,10.023032629558541
59,Hard Trance,0,248,248,11.422264875239923
60,Dub Techno,0,150,150,10.857965451055662
61,Synth-pop,0,415,415,12.383877159309021
62,RnB/Swing,0,112,112,10.63915547024952
63,Rocksteady,0,1,1,10.0
64,Broken Beat,0,191,191,11.09404990403071
66,J-pop,0,18,18,10.0978886756238
67,Eurodance,0,54,54,10.305182341650672
68,Soundtrack,0,40,40,10.224568138195778
69,Ballad,0,81,81,10.460652591170824
70,Theme,0,13,13,10.069097888675625
71,Gospel,0,5,5,10.023032629558541
72,Hardstyle,0,92,92,10.523992322456815
74,Drum n Bass,0,155,155,10.886756238003839
75,Salsa,0,3,3,10.01151631477927
76,Promotional,0,7,7,10.03454894433781
77,Euro-Disco,0,4,4,10.017274472168905
79,MPB,0,4,4,10.017274472168905
80,Novelty,0,3,3,10.01151631477927
81,Dance-pop,0,79,79,10.449136276391554
82,Mambo,0,3,3,10.01151631477927
83,Lounge,0,23,23,10.126679462571976
84,Hi NRG,0,18,18,10.0978886756238
85,Acoustic,0,29,29,10.161228406909789
86,Health-Fitness,0,1,1,10.0
88,Pop Rap,0,35,35,10.195777351247601
89,Pop Rock,0,149,149,10.852207293666027
90,Jumpstyle,0,63,63,10.357005758157388
91,Comedy,0,5,5,10.023032629558541
92,Latin Pop,0,1,1,10.0
93,Nu-Disco,0,18,18,10.0978886756238
95,Industrial,0,168,168,10.961612284069098
96,Mandopop,0,1,1,10.0
97,IDM,0,403,403,12.314779270633398
98,Trip Hop,0,78,78,10.443378119001919
100,Grime,0,23,23,10.126679462571976
101,Eurobeat,0,18,18,10.0978886756238
102,Jungle,0,42,42,10.236084452975048
103,Tech Trance,0,33,33,10.18426103646833
104,Alternative Rock,0,92,92,10.523992322456815
105,Italo-Disco,0,37,37,10.207293666026871
