id,name,outgoing_weight,incoming_weight,total_weight,release_count,size
3,Tech House,6305,4154,10459,5666.0,72.78502831814825
4,Deep House,8089,3758,11847,6213.0,78.84634326520562
8,Progressive House,4403,2881,7284,4369.0,58.41295247475991
15,Disco,8212,2874,11086,3390.0,47.564639251415905
16,Trance,3950,2810,6760,3639.0,50.32381186899779
20,Electro,10460,5427,15887,3938.0,53.637035213001724
21,Downtempo,14653,3960,18613,4460.0,59.42132479684807
24,Breaks,4208,1392,5600,2281.0,35.27579413937454
25,Minimal,9760,2164,11924,3489.0,48.66165968973159
28,Funk,5055,2087,7142,1784.0,29.768529918739226
32,Breakbeat,4867,1405,6272,1434.0,25.890174833784783
40,Ambient,12849,6639,19488,5186.0,67.46614134449644
42,Experimental,20265,5961,26226,8122.0,100.0
45,UK Garage,2075,616,2691,726.0,18.044816547648363
47,Soul,5584,1691,7275,2249.0,34.92120167446441
53,Progressive Trance,4730,2196,6926,2572.0,38.50036936715095
61,Synth-pop,15332,3426,18758,5008.0,65.49372075843388
74,Drum n Bass,5137,2703,7840,4281.0,57.43782319625708
102,Jungle,2007,802,2809,742.0,18.222112780103423
118,Hard Techno,708,85,793,384.0,14.255109578921449
232,Dubstep,9526,2901,12427,3622.0,50.13543462201428
1,House,0,11637,11637,0.0,10.0
2,Hard House,0,192,192,0.0,10.0
5,Garage House,0,333,333,0.0,10.0
6,Acid House,0,353,353,0.0,10.0
7,Euro House,0,720,720,0.0,10.0
11,Electro House,0,2895,2895,0.0,10.0
19,Tribal,0,529,529,0.0,10.0
22,Techno,0,6644,6644,0.0,10.0
23,Abstract,0,3116,3116,0.0,10.0
26,Acid,0,732,732,0.0,10.0
29,Dub,0,1532,1532,0.0,10.0
30,Afrobeat,0,167,167,0.0,10.0
31,Europop,0,726,726,0.0,10.0
34,Vocal,0,853,853,0.0,10.0
35,Jazzdance,0,80,80,0.0,10.0
44,Future Jazz,0,441,441,0.0,10.0
49,Jazz-Funk,0,328,328,0.0,10.0
54,Hip Hop,0,1516,1516,0.0,10.0
57,Juke,0,241,241,0.0,10.0
59,Hard Trance,0,420,420,0.0,10.0
60,Dub Techno,0,703,703,0.0,10.0
62,RnB/Swing,0,474,474,0.0,10.0
64,Broken Beat,0,459,459,0.0,10.0
68,Soundtrack,0,694,694,0.0,10.0
69,Ballad,0,715,715,0.0,10.0
71,Gospel,0,111,111,0.0,10.0
72,Hardstyle,0,219,219,0.0,10.0
81,Dance-pop,0,840,840,0.0,10.0
88,Pop Rap,0,528,528,0.0,10.0
89,Pop Rock,0,1431,1431,0.0,10.0
95,Industrial,0,2360,2360,0.0,10.0
97,IDM,0,2780,2780,0.0,10.0
98,Trip Hop,0,1162,1162,0.0,10.0
100,Grime,0,387,387,0.0,10.0
103,Tech Trance,0,419,419,0.0,10.0
104,Alternative Rock,0,1217,1217,0.0,10.0
105,Italo-Disco,0,361,361,0.0,10.0
106,Leftfield,0,1910,1910,0.0,10.0
107,Folk,0,545,545,0.0,10.0
111,Modern Classical,0,866,866,0.0,10.0
113,Contemporary R&B,0,377,377,0.0,10.0
114,EBM,0,974,974,0.0,10.0
115,Happy Hardcore,0,358,358,0.0,10.0
122,Indie Rock,0,1457,1457,0.0,10.0
125,Hardcore,0,1330,1330,0.0,10.0
134,Minimal Techno,0,494,494,0.0,10.0
136,Indie Pop,0,1093,1093,0.0,10.0
140,Rhythm & Blues,0,907,907,0.0,10.0
152,Noise,0,2265,2265,0.0,10.0
156,Post Rock,0,711,711,0.0,10.0
161,Rock & Roll,0,196,196,0.0,10.0
162,Psychedelic,0,274,274,0.0,10.0
166,Neo Soul,0,251,251,0.0,10.0
171,Glitch,0,1474,1474,0.0,10.0
179,Deep Techno,0,227,227,0.0,10.0
190,Breakcore,0,571,571,0.0,10.0
198,New Age,0,505,505,0.0,10.0
202,New Wave,0,1581,1581,0.0,10.0
203,Psy-Trance,0,1442,1442,0.0,10.0
205,Avantgarde,0,754,754,0.0,10.0
210,Gabber,0,220,220,0.0,10.0
213,Instrumental,0,494,494,0.0,10.0
214,Psychedelic Rock,0,839,839,0.0,10.0
225,Chiptune,0,449,449,0.0,10.0
248,Soul-Jazz,0,156,156,0.0,10.0
250,Prog Rock,0,454,454,0.0,10.0
251,Drone,0,2816,2816,0.0,10.0
265,Boogie,0,167,167,0.0,10.0
269,Art Rock,0,437,437,0.0,10.0
278,Bassline,0,190,190,0.0,10.0
293,Dark Ambient,0,1502,1502,0.0,10.0
294,Bass Music,0,473,473,0.0,10.0
299,Freetekno,0,47,47,0.0,10.0
307,Schranz,0,92,92,0.0,10.0
319,Free Improvisation,0,329,329,0.0,10.0
323,Darkwave,0,783,783,0.0,10.0
333,Speedcore,0,128,128,0.0,10.0
339,Musique Concrète,0,369,369,0.0,10.0
395,Trap,0,306,306,0.0,10.0
405,Halftime,0,200,200,0.0,10.0
