id,name,outgoing_weight,incoming_weight,total_weight,mix_count,size
1,deep tech house,105,105,210,270,14.215789473684211
2,hip hop,141,141,282,140,12.163157894736841
3,hardcore,23,23,46,77,11.16842105263158
5,drum and bass,149,149,298,1011,25.91578947368421
6,dub techno,77,77,154,65,10.978947368421053
7,breakbeat,36,36,72,27,10.378947368421052
8,ambient,67,67,134,104,11.594736842105263
9,hard house,2,2,4,3,10.0
10,synth pop,45,45,90,43,10.631578947368421
12,jungle,82,82,164,145,12.242105263157894
13,world music,4,4,8,8,10.078947368421053
14,deep house,1297,1297,2594,1476,33.257894736842104
15,experimental,51,51,102,57,10.852631578947369
17,reggae,37,37,74,77,11.16842105263158
18,psytrance,66,66,132,57,10.852631578947369
19,rave,33,33,66,26,10.363157894736842
20,acid house,42,42,84,37,10.536842105263158
21,progressive house,775,775,1550,1278,30.13157894736842
22,dub,26,26,52,30,10.426315789473684
23,italodance,3,3,6,4,10.01578947368421
24,chill out,117,117,234,238,13.710526315789474
25,jazz,78,78,156,40,10.58421052631579
26,idm,33,33,66,42,10.615789473684211
27,house,3850,3850,7700,5703,100.0
28,pop,151,151,302,117,11.8
30,dubstep,76,76,152,123,11.894736842105264
31,soul,139,139,278,96,11.468421052631578
32,funk,233,233,466,151,12.336842105263159
33,trance,1137,1137,2274,1188,28.710526315789473
35,disco,685,685,1370,778,22.236842105263158
36,dancehall,9,9,18,11,10.126315789473685
37,uk garage,28,28,56,32,10.457894736842105
38,progressive trance,1295,1295,2590,1245,29.610526315789475
39,latin,10,10,20,16,10.205263157894738
40,downtempo,19,19,38,19,10.25263157894737
42,techno,1392,1392,2784,2343,46.94736842105263
43,freestyle,5,5,10,4,10.01578947368421
44,hard trance,4,4,8,5,10.031578947368422
45,acid techno,17,17,34,16,10.205263157894738
46,minimal,1051,1051,2102,787,22.378947368421052
47,electro,166,166,332,148,12.289473684210526
48,deep space house,52,52,104,53,10.789473684210526
49,hardstyle,7,7,14,87,11.326315789473684
50,tech house,2848,2848,5696,3102,58.93157894736842
51,rock,65,65,130,46,10.678947368421053
